asin,price_amazon
B00A39PPDK,306.51
B01MAWIFQP,2197.58
B079V1MSQ1,1487.54
B00CBF0VIS,138.13
B01DPS4QQ2,154.13
B01MCRBY4X,809.27
B01MZFKFI9,779.02
B000JC5T82,17.36
B00C8JG0YQ,50.72
B01M2TRTNL,374.51
B06XVFY3M8,359.01
B00X1404T4,38.97
B00VU2NHVG,50.97
B01CZW875A,54.97
B0148NPJ78,263.76
B0711C1R4X,455.76
B0061MYR6Y,1504.04
B072NCV4ZD,172.13
B00N32HDXO,312.51
B01798WKTY,106.19
B01429SJL6,204.63
B00M0SQM2U,489.51
B007QOIP3M,27.61
B06XY6DJV7,361.76
B016ATD48O,55.47
B06ZXY5XMW,567.52
B01MZ4GTGG,158.13
B004VQNU9W,158.13
B07644ZS1D,134.88
B016YKDOFW,285.76
B06XVDYHQX,957.27
B06XKRWWSG,431.51
B01FWIEMSU,735.27
B0771WSK46,59.97
B000HMLP5A,167.88
B01NCOOFGO,2453.83
B00VXMY262,44.05
B004O9TEJG,108.6
B00B6A8N3O,85.1
B00TGIW1XG,226.45
B01AWGYE12,617.8
B00B22564K,73.35
B073HC1BTP,261.65
B0145L65S0,65.6
B0799NH2MP,81.85
B01LYNEIEI,121.85
B00KHRYRLY,279.4
B072F9T5MR,424.15
B009KY58FE,33.05
B00FRU5UNA,132.45
B071KGTRG8,148.7
B00KGGK1J8,26.65
B003D7JSUK,45.3
B0002KVQBA,98.6
B076B11R86,114.6
B01LYQ7H7B,94.85
B00H36U69Y,348.15
B00NNS5MNQ,214.2
B00OOXCMQE,300.9
B072J7PTFB,270.4
B075KMZ4MX,67.85
B00170HCOO,199.95
B00UBGU4PY,108.01
B074KCPQQV,128.27
B00JPJ206E,248.27
B009MQTC52,192.52
B071P6KQZH,2057.82
B01LXF3C7Z,144.77
B072FG8LBV,68.51
B00NIZ3DB2,323.04
B01FTX7LU4,85.01
B01645FHFC,113.01
B010FH2S3O,276.54
B076XLLCQC,405.04
B017MEW3LK,522.83
B00GG1AC7I,170.77
B073RM786Q,811.33
B000FLNU4M,243.27
B014RD6RC0,171.52
B0764L7RJ4,977.58
B01N634P7O,66.26
B01H33VQDG,946.33
B01MATN5XL,86.51
B000HKGK9I,22.69
B01L74RPL4,63.38
B0073GLGOS,83.01
B01936N73I,115.01
B01700RNIO,53.63
B06XGDPKXL,1334.66
B06XSGYCHC,75.51
B00RY9N4QW,796.58
B06XYHDX83,382.79
B01364B00K,18.94
B071XTT7HY,287.79
B002NKM4C2,288.18
B00H45LEU4,400.43
B072KPG9PN,120.17
B0000695AT,224.59
B06XHWTR27,46.21
B00YAE9DXM,58.21
B00A0HZNDW,217.09
B00BWHILCY,80.67
B00GTFHUIU,28.23
B019Q8974G,56.46
B01DT48WZS,124.92
B0117RFX38,178.09
B01D0CEC62,93.17
B002UI8E4O,113.17
B017K605ZQ,278.43
B00V631478,69.67
B007I57L3Y,251.34
B01NAYKWR9,36.96
B018K251JE,109.92
B01MSZSL4I,180.59
B005MJHFHK,37.21
B00006JQ62,70.42
B01JCIJJE8,70.42
B01MSZSJE9,114.42
B00SU3XOI4,165.09
B005TI1HQO,102.67
B013JPKT9O,122.67
B000COOC0I,759.11
B004NBZ98K,49.46
B00LGZSTNI,126.92
B00DR8LA6U,141.84
B06X3X3FVL,460.93
B06XXR6JK3,247.09
B00KC8H9YK,79.67
B008JJLZ7G,103.67
B00O8MULHI,63.96
B00BPATVEA,104.08
B00836LXRW,128.66
B0043T34RK,216.91
B00FX4FO1S,42.29
B0000DHVN3,108.83
B01EMQI2CU,124.83
B00TIBFEIA,145.66
B00EHBERSE,177.91
B01N1N908J,146.66
B06WGPNGC2,1365.78
B00FRET3IY,469.57
B00F6PRSMW,326.32
B07573TWMD,974.39
B013WQIDAW,590.89
B00SL2ZYFU,359.57
B00FJECGRC,24.52
B01GUY5KYA,25.52
B00I4D2YBI,33.04
B00A39PPCG,312.57
B00RGPDDD8,102.33
B06XGCT2PQ,3410.06
B005PKPTB0,33.29
B011QHAOWO,266.32
B00CMKOVMO,118.83
B00141DTFM,149.66
B00E63R4DI,173.66
B00DQ4D7AW,51.54
B01IS5WOH0,61.54
B00R5WGT2E,63.54
B07536MYBQ,537.39
B00U7RW0B8,79.33
B00170O1HK,198.66
B007GMPZ0A,49.79
B00JPJ1YAC,286.32
